,Medal,Event_Count,Cluster1,Cluster2,Cluster3,Cluster4,Cluster5,Cluster6,Cluster7,Cluster8,Cluster9,Male_Percentage,is_Host?
LTU,6.0,42.043080215891855,0.0,0.2248143364792204,2.0000074246744246,-4.824558165895686e-06,1.9999997116983415,3.439861172232975,0.0,0.0,0.6814690664820412,61.870909256769565,0
LUX,0.0,12.515360922512937,0.0,0.0,0.0,-4.824558165895733e-06,0.0,0.026153223814221624,0.0,0.0,-0.4563695205009096,55.07762606729052,0
MAD,0.0,6.295074393738834,0.0,0.0,0.0,-4.824558165895688e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
MAL,0.0,0,0.0,0.0,0,-4.824558165895707e-06,0.0,0,0.0,0,0.0,0,0
MAR,4.0,38.44656277457721,0.0,0.0,0.0,-4.824558165895705e-06,0.0,2.7644372966208355,0.0,0.0,1.9999999257687195,67.53423923372026,0
MAS,2.0,30.664965016340346,0.0,0.0,0.0,0.4987446828930713,2.0246400491826915,0.0,2.8741811093185508,0.0,0.5788417742097739,48.790604909773855,0
MAW,0.0,2.741958826192043,0.0,0.0,0.0,-4.824558165895695e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
MDA,5.0,28.152251905078625,0.0,0.0,0.0,-4.824558165895734e-06,0.0,6.036073854716636,1.8110621024294842,0.0,0.0,29.57820294756855,0
MDV,0.0,4.891088110270421,0.0,0.0,0.0,-4.824558165895698e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
MEX,8.0,86.59799804724076,0.0,-0.08358538339419733,0.0,0.8113063920389065,1.2091003545681427,2.400000026947599,0.0,0.0,0.2367279533421598,40.68532450676935,0
MGL,2.0,40.23889080923603,0.0,0.0,0.0,-4.8245581658957044e-06,0.0,3.224173307585869,0.0,0.0,0.0,51.07222004913478,0
MHL,0.0,4.0000020840063835,0.0,0.0,0.0,-4.82455816589571e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
MKD,0.0,5.398014848894725,0.0,0.0,0.0,1.0738174776830234,0.0,5.462794071327324e-76,0.0,0.0,0.0,60.144054887190585,0
MLI,0.0,5.318626574354595,0.0,0.0,0.0,-4.8245581658957044e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
MLT,0.0,6.391654087188253,0.0,0.0,0.0,-4.824558165895708e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
MNE,0.0,6.999986617235084,0.0,0.0,0.0,-4.82455816589571e-06,0.0,0.3999815268903193,0.0,0.0,0.0,102.90999152533975,0
MON,0.0,6.17039816679898,0.0,0.0,0.0,-4.8245581658957205e-06,0.0,0.0,0.0,0.0,2.268039918062223e-05,0.0,0
MOZ,0.0,7.516881021418162,0.0,0.0,0.0,-4.824558165895695e-06,0.0,0.3333074084744097,0.0,0.0,0.0,62.48915459048745,0
MRI,0.0,13.730919411324374,0.0,0.0,0.0,-4.824558165895686e-06,0.0,0.09091120927947767,0.0,0.0,0.0,46.24716429359904,0
